Year,Country,Pollution Rank,Pollution Index,Exp Pollution Index
2012.01,Sudan,1,149.17,216.1
2012.01,Sri Lanka,2,135.83,194.46
2012.01,Iran,3,131.85,188.55
2012.01,Morocco,4,125.83,185.35
2012.01,Egypt,5,125.71,177.41
2012.01,Zimbabwe,6,124.17,184.33
2012.01,China,7,122.8,170.96
2012.01,Philippines,8,116.65,160.94
2012.01,Bangladesh,9,116.25,163.04
2012.01,Saudi Arabia,10,112.5,156.7
2012.01,Bosnia And Herzegovina,11,112.42,159.48
2012.01,Venezuela,12,110,160.77
2012.01,Russia,13,104.67,142.88
2012.01,Chile,14,103.75,150.33
2012.01,India,15,102.91,139
2012.01,Thailand,16,101.61,141.15
2012.01,Pakistan,17,101.33,138.35
2012.01,Ukraine,18,100.24,136.83
2012.01,Puerto Rico,19,99.17,133.11
2012.01,Bulgaria,20,98.48,134.38
2012.01,Mexico,21,93.5,127.79
2012.01,Romania,22,91.92,123.63
2012.01,Colombia,23,91.46,124.25
2012.01,Malaysia,24,91.25,125.35
2012.01,Hungary,25,90.25,129.33
2012.01,Argentina,26,90,128.36
2012.01,Hong Kong,27,89.58,146.8
2012.01,Turkey,28,89.23,118.7
2012.01,South Africa,29,88.96,119.13
2012.01,Belgium,30,88.33,120.99
2012.01,Greece,31,87.77,118.5
2012.01,Spain,32,85.62,113.05
2012.01,Italy,33,85.48,117.19
2012.01,Poland,34,83.75,114.15
2012.01,Brazil,35,82.92,112.38
2012.01,Serbia,36,80.97,110.68
2012.01,Singapore,37,70.83,93.89
2012.01,United Arab Emirates,38,69.17,91.05
2012.01,Czech Republic,39,65.99,92.24
2012.01,United Kingdom,40,64.43,86.41
2012.01,France,41,61.82,84.68
2012.01,United States,42,61.27,77.7
2012.01,Tunisia,43,59.58,77.41
2012.01,Jordan,44,58,90.2
2012.01,Japan,45,52.5,74.37
2012.01,Portugal,46,51.91,68.32
2012.01,Croatia,47,49.94,69.35
2012.01,Israel,48,48.75,69.37
2012.01,Ireland,49,45.17,63.99
2012.01,Germany,50,45.14,58.08
2012.01,Indonesia,51,43.84,58.02
2012.01,Austria,52,42.84,59.78
2012.01,Netherlands,53,41.67,60.3
2012.01,Canada,54,41.59,52.33
2012.01,Australia,55,37.25,45.01
2012.01,Switzerland,56,35.49,54.8
2012.01,Slovenia,57,35,48.02
2012.01,Denmark,58,34.17,50.18
2012.01,Sweden,59,32.5,43.85
2012.01,Costa Rica,60,25,59.04
2012.01,Finland,61,24.38,35.51
2012.01,Norway,62,19.22,23.23
2012.01,New Zealand,63,17.08,27.49
2012.01,Iceland,64,7.08,12.69
2013.01,Ghana,1,113.79,212.16
2013.01,Peru,2,97.18,177.2
2013.01,Bangladesh,3,96.93,175.61
2013.01,Jamaica,4,96.84,176.66
2013.01,Nigeria,5,94.83,182.44
2013.01,El Salvador,6,93.1,172.48
2013.01,Iran,7,90.23,168.81
2013.01,Egypt,8,89.86,160.84
2013.01,Myanmar,9,89.52,166.97
2013.01,China,10,89.35,164.12
2013.01,Mongolia,11,88.97,171.09
2013.01,Sri Lanka,12,88.18,160.78
2013.01,Lebanon,13,88.05,158.24
2013.01,Albania,14,87.36,162.61
2013.01,Pakistan,15,86.96,157.42
2013.01,Trinidad And Tobago,16,86.78,156.83
2013.01,Indonesia,17,85.14,151.24
2013.01,Bahamas,18,85.06,152.21
2013.01,Nepal,19,83.37,149.53
2013.01,Qatar,20,82.76,157.18
2013.01,Turkey,21,82,146.13
2013.01,Venezuela,22,81.89,146.91
2013.01,Saudi Arabia,23,80.55,148.47
2013.01,Morocco,24,80.25,145.87
2013.01,Kazakhstan,25,79.6,150.42
2013.01,Bulgaria,26,78.86,143.47
2013.01,Guyana,27,78.74,149.18
2013.01,Russia,28,78.29,138.6
2013.01,India,29,77.48,136.91
2013.01,Armenia,30,77.3,141.07
2013.01,Laos,31,76.29,140.56
2013.01,South Korea,32,75.57,140.38
2013.01,Philippines,33,74.84,131.79
2013.01,North Macedonia,34,74.43,150.71
2013.01,Chile,35,74.2,135.75
2013.01,Bolivia,36,73.79,159.45
2013.01,Thailand,37,72.12,127.24
2013.01,Azerbaijan,38,71.55,128.03
2013.01,Taiwan,39,71.48,129.41
2013.01,Malta,40,71.19,126.09
2013.01,Colombia,41,68.26,127.61
2013.01,Bosnia And Herzegovina,42,67.63,119.84
2013.01,Malaysia,43,67.35,116.96
2013.01,Ukraine,44,67.28,119.79
2013.01,Cambodia,45,66.38,118.46
2013.01,Mexico,46,66.08,115.12
2013.01,Tunisia,47,65.93,118.78
2013.01,Algeria,48,65.8,115.18
2013.01,Hong Kong,49,64.95,122.21
2013.01,Georgia,50,64.83,114.81
2013.01,Romania,51,63.34,108.86
2013.01,Zimbabwe,52,63.05,117.44
2013.01,Greece,53,62.69,109.83
2013.01,Tanzania,54,61.78,106.87
2013.01,Ethiopia,55,60.06,106.41
2013.01,Israel,56,59.54,110.25
2013.01,South Africa,57,58.99,101.03
2013.01,Italy,58,58.86,101.76
2013.01,Ecuador,59,58.55,100.52
2013.01,United Arab Emirates,60,58.37,103.16
2013.01,Libya,61,56.98,97.55
2013.01,Brazil,62,56.5,96.87
2013.01,Cyprus,63,56.44,97.15
2013.01,Argentina,64,55.56,97.17
2013.01,Fiji,65,55.26,99.1
2013.01,Jordan,66,54.6,98.21
2013.01,Kyrgyzstan,67,54.6,95.43
2013.01,Puerto Rico,68,54.02,94.17
2013.01,Sudan,69,53.91,96.29
2013.01,Kenya,70,53.45,90.61
2013.01,Hungary,71,53.27,92.29
2013.01,Serbia,72,52.79,91.22
2013.01,Paraguay,73,51.55,92.41
2013.01,Poland,74,50.02,83.98
2013.01,Costa Rica,75,49.82,91.29
2013.01,Belgium,76,49.63,83.83
2013.01,Singapore,77,49.5,84.77
2013.01,Panama,78,48.08,91.43
2013.01,Belize,79,46.55,82.78
2013.01,Spain,80,46.52,76.93
2013.01,Vietnam,81,46.38,77.24
2013.01,Montenegro,82,44.58,76.6
2013.01,Croatia,83,42,73.35
2013.01,Uganda,84,41.95,77.77
2013.01,France,85,41.3,68.6
2013.01,Czech Republic,86,40.1,70.46
2013.01,Latvia,87,38.79,66.37
2013.01,Mauritius,88,38.36,73.02
2013.01,Belarus,89,36.23,65.02
2013.01,United Kingdom,90,36.02,60.07
2013.01,Brunei,91,35.06,70.84
2013.01,Portugal,92,35,59.56
2013.01,Slovakia,93,34.4,60.06
2013.01,Denmark,94,34.29,59.04
2013.01,Japan,95,33.68,59.15
2013.01,United States,96,32.53,57.83
2013.01,Uruguay,97,30.46,65.58
2013.01,Ireland,98,29.76,53.01
2013.01,Austria,99,28.81,49.5
2013.01,Germany,100,28.43,45.69
2013.01,Slovenia,101,28.17,50.69
2013.01,Netherlands,102,28.08,50.94
2013.01,Canada,103,26.52,43.51
2013.01,Lithuania,104,25.17,46.83
2013.01,Norway,105,23.35,37.24
2013.01,Switzerland,106,22.97,42.07
2013.01,New Zealand,107,21.8,38.08
2013.01,Australia,108,20.89,33.03
2013.01,Sweden,109,18.79,31.13
2013.01,Finland,110,18.53,28.91
2013.01,Estonia,111,16.38,41.4
2013.01,Iceland,112,9.85,18.03
2014.01,Ghana,1,111.18,204.26
2014.01,Bangladesh,2,95.87,173.32
2014.01,Mongolia,3,94.98,178.36
2014.01,Egypt,4,91.23,164.41
2014.01,Peru,5,88.65,160.95
2014.01,Myanmar,6,86.93,159.17
2014.01,Lebanon,7,86.72,155.13
2014.01,El Salvador,8,86.28,158.06
2014.01,Iran,9,86.07,158.56
2014.01,Trinidad And Tobago,10,85.71,153.94
2014.01,Nepal,11,85.43,152.22
2014.01,North Macedonia,12,85.35,161.5
2014.01,China,13,84.72,154.49
2014.01,Azerbaijan,14,82.02,146.73
2014.01,Jordan,15,81.84,145.45
2014.01,Qatar,16,81.03,144.69
2014.01,Jamaica,17,80.86,143.81
2014.01,Pakistan,18,80.25,142.77
2014.01,Laos,19,78.91,143.06
2014.01,Albania,20,77.3,140.48
2014.01,Turkey,21,77.11,135.42
2014.01,Russia,22,76.45,135.43
2014.01,Guatemala,23,75.92,134.33
2014.01,Philippines,24,74.88,131.61
2014.01,Cambodia,25,74.71,135.79
2014.01,Tunisia,26,74.55,132.18
2014.01,Kazakhstan,27,74.36,136.03
2014.01,India,28,74.34,130.21
2014.01,Sri Lanka,29,74.26,132.11
2014.01,South Korea,30,74.24,136.21
2014.01,Venezuela,31,73.96,130.6
2014.01,Bolivia,32,73.79,159.45
2014.01,Indonesia,33,73.78,129.13
2014.01,Ukraine,34,73.32,131.25
2014.01,Vietnam,35,72.62,126.49
2014.01,Armenia,36,71.57,131.76
2014.01,Saudi Arabia,37,71.54,127.93
2014.01,Mexico,38,71.17,124.38
2014.01,Thailand,39,71.13,123.48
2014.01,Chile,40,70.98,129.51
2014.01,Taiwan,41,70.81,127.01
2014.01,Moldova,42,70.34,125.24
2014.01,Morocco,43,70.1,122.73
2014.01,Malta,44,68.92,121.88
2014.01,Dominican Republic,45,68.76,120.36
2014.01,Guyana,46,67.67,121.07
2014.01,Bulgaria,47,66.72,119.35
2014.01,Colombia,48,65.67,120.14
2014.01,Georgia,49,65.28,115.72
2014.01,Ethiopia,50,64.89,115.97
2014.01,Tanzania,51,64.47,111.41
2014.01,Hong Kong,52,63.79,118.3
2014.01,Israel,53,63.75,113.21
2014.01,Libya,54,63.54,109.6
2014.01,Algeria,55,62.59,107.55
2014.01,Romania,56,62.55,107.89
2014.01,Malaysia,57,61.12,104.78
2014.01,Kyrgyzstan,58,61.03,111.94
2014.01,Sudan,59,61.01,107.64
2014.01,Kenya,60,60.71,104.25
2014.01,Italy,61,60.42,105.32
2014.01,Kuwait,62,59.99,106.34
2014.01,Costa Rica,63,59.57,105.92
2014.01,Zimbabwe,64,58.36,109.68
2014.01,Bosnia And Herzegovina,65,58.22,100.68
2014.01,South Africa,66,57.93,99.35
2014.01,Brazil,67,57.58,98.75
2014.01,Paraguay,68,57.47,104.26
2014.01,Argentina,69,57.45,99.66
2014.01,Belgium,70,56.16,96.62
2014.01,Mauritius,71,53.86,99.12
2014.01,United Arab Emirates,72,53.84,93.28
2014.01,Ecuador,73,53.66,91.71
2014.01,Fiji,74,52.06,90.32
2014.01,Poland,75,50.54,85.42
2014.01,Panama,76,49.85,91.93
2014.01,Spain,77,49.76,82.97
2014.01,Serbia,78,49.56,84.36
2014.01,Hungary,79,48.33,83.12
2014.01,Belize,80,47.59,84.93
2014.01,Puerto Rico,81,47.41,81.09
2014.01,France,82,46.92,78.33
2014.01,Cyprus,83,46.14,77.41
2014.01,Greece,84,45.28,75.41
2014.01,Luxembourg,85,45.17,77.12
2014.01,Montenegro,86,44.58,76.6
2014.01,Latvia,87,43.61,71.74
2014.01,Belarus,88,42.72,72.43
2014.01,Singapore,89,41.93,71.02
2014.01,Slovakia,90,40.81,71.38
2014.01,Japan,91,40.78,68.58
2014.01,Brunei,92,38.45,67.73
2014.01,Czech Republic,93,38.34,66.41
2014.01,Syria,94,35.92,57.78
2014.01,United States,95,35.13,59.81
2014.01,Denmark,96,34.76,56.09
2014.01,United Kingdom,97,33.81,55.76
2014.01,Slovenia,98,32.97,59.64
2014.01,Netherlands,99,32.4,53.81
2014.01,Austria,100,31.68,54.85
2014.01,Portugal,101,30.9,51.44
2014.01,Germany,102,30.2,48.24
2014.01,Ireland,103,29.32,52.47
2014.01,Croatia,104,28.69,46.9
2014.01,Canada,105,27.7,44.87
2014.01,Switzerland,106,26.8,46.12
2014.01,Norway,107,22.57,37.16
2014.01,Uruguay,108,21.33,37.63
2014.01,Lithuania,109,21.13,38.65
2014.01,New Zealand,110,21.02,33.59
2014.01,Australia,111,19.38,29.78
2014.01,Iceland,112,18.04,29.33
2014.01,Sweden,113,17.51,28.5
2014.01,Finland,114,16.68,27.36
2014.01,Estonia,115,13.43,27.02
2014.06,Ghana,1,107.9,197.78
2014.06,Iraq,2,105.86,196.6
2014.06,Mongolia,3,95.75,179.71
2014.06,Egypt,4,92.55,167.15
2014.06,Lebanon,5,89.79,161.45
2014.06,Maldives,6,89.66,160.54
2014.06,Bangladesh,7,89.21,159.5
2014.06,Yemen,8,88.53,162.14
2014.06,Myanmar,9,86.65,158.77
2014.06,Trinidad And Tobago,10,86.55,156.14
2014.06,Qatar,11,86.54,155.71
2014.06,El Salvador,12,86.28,158.06
2014.06,China,13,86.24,157.04
2014.06,Iran,14,86.08,158.7
2014.06,Jordan,15,85.65,152.72
2014.06,Nepal,16,85.42,152.3
2014.06,Botswana,17,85.06,153.78
2014.06,North Macedonia,18,84.89,159.62
2014.06,Peru,19,84.78,151.84
2014.06,Jamaica,20,84.49,151.34
2014.06,Bolivia,21,83.34,151.3
2014.06,Azerbaijan,22,82.02,146.73
2014.06,Vietnam,23,81.4,144.03
2014.06,Pakistan,24,81.08,143.91
2014.06,Cambodia,25,78.26,141.25
2014.06,Venezuela,26,76.6,135.96
2014.06,Tunisia,27,76.23,135.25
2014.06,Nigeria,28,75.68,133.04
2014.06,India,29,75.04,131.51
2014.06,South Korea,30,74.85,135.91
2014.06,Kazakhstan,31,73.95,134.26
2014.06,Turkey,32,73.52,128.22
2014.06,Russia,33,73.46,129.62
2014.06,Indonesia,34,72.45,126.6
2014.06,Armenia,35,72.44,133.65
2014.06,Chile,36,72.24,131.47
2014.06,Guatemala,37,72.11,125.96
2014.06,Thailand,38,71.76,124.71
2014.06,Philippines,39,71.5,125.04
2014.06,Albania,40,71.43,126.79
2014.06,Ukraine,41,71.03,125.63
2014.06,Saudi Arabia,42,70.57,125.08
2014.06,Laos,43,69.89,124.03
2014.06,Mexico,44,69.19,120.46
2014.06,Malta,45,68.92,121.88
2014.06,Bahrain,46,68.62,123.56
2014.06,Honduras,47,68.45,123.98
2014.06,Ethiopia,48,67.81,123.06
2014.06,Guyana,49,67.67,121.07
2014.06,Tanzania,50,67,115.94
2014.06,Bahamas,51,65.69,117
2014.06,Moldova,52,65.52,114.6
2014.06,Sri Lanka,53,65.36,113.62
2014.06,Israel,54,64.99,115.52
2014.06,Malaysia,55,64.49,111.11
2014.06,Taiwan,56,64.07,113.51
2014.06,Georgia,57,64.05,113.11
2014.06,Zimbabwe,58,63.88,117.44
2014.06,Bulgaria,59,63.63,113
2014.06,Dominican Republic,60,63.59,109.64
2014.06,Morocco,61,62.75,108.09
2014.06,Colombia,62,62.42,114.62
2014.06,Kenya,63,62.2,108.02
2014.06,Hong Kong,64,61.47,110.32
2014.06,Kyrgyzstan,65,61.03,111.94
2014.06,Sudan,66,61.01,107.64
2014.06,Italy,67,60.37,104.9
2014.06,Algeria,68,60.13,105.2
2014.06,Kuwait,69,59.63,105.21
2014.06,Romania,70,59.18,101.31
2014.06,South Africa,71,59.16,101.74
2014.06,Bosnia And Herzegovina,72,59.02,102.4
2014.06,Argentina,73,58.62,102.27
2014.06,Paraguay,74,57.47,104.26
2014.06,Libya,75,57.38,97.58
2014.06,Ecuador,76,56.53,96.32
2014.06,Costa Rica,77,56.1,98.78
2014.06,Oman,78,54.91,96.19
2014.06,United Arab Emirates,79,54.62,94.5
2014.06,Belgium,80,54.61,93.56
2014.06,Fiji,81,53.18,92.28
2014.06,Brazil,82,53.13,90.15
2014.06,Serbia,83,50.95,87.3
2014.06,Puerto Rico,84,50.53,86.71
2014.06,Spain,85,50.22,83.97
2014.06,Poland,86,50.05,84.49
2014.06,Panama,87,49.36,93.36
2014.06,Brunei,88,48.75,85.19
2014.06,Mauritius,89,48.56,89.73
2014.06,France,90,48.51,80.89
2014.06,Latvia,91,47.31,78.98
2014.06,Belarus,92,46.37,78.94
2014.06,Hungary,93,45.63,77.96
2014.06,Greece,94,45.18,75.26
2014.06,Montenegro,95,44.58,76.6
2014.06,Japan,96,44.03,73.41
2014.06,Belize,97,43.97,78.6
2014.06,Singapore,98,43.01,73.26
2014.06,Czech Republic,99,42.35,72.14
2014.06,Slovakia,100,40.81,71.38
2014.06,Denmark,101,37.61,60.36
2014.06,Netherlands,102,37.33,61.91
2014.06,United States,103,35.97,60.29
2014.06,United Kingdom,104,35.96,58.99
2014.06,Syria,105,35.92,57.78
2014.06,Austria,106,35.77,61.54
2014.06,Cyprus,107,33.62,54.44
2014.06,Slovenia,108,32.66,59.39
2014.06,Luxembourg,109,32.46,53.13
2014.06,Portugal,110,30.87,51.24
2014.06,Croatia,111,30.46,49.72
2014.06,Germany,112,30.33,48.36
2014.06,Canada,113,28.8,46.79
2014.06,Ireland,114,27.36,48.72
2014.06,Lithuania,115,26.87,46.48
2014.06,Switzerland,116,26.02,44.16
2014.06,Norway,117,24.93,40.5
2014.06,Australia,118,22.24,34.04
2014.06,Uruguay,119,21.33,37.63
2014.06,New Zealand,120,19.24,30.69
2014.06,Estonia,121,17.27,30.95
2014.06,Sweden,122,17.17,27.86
2014.06,Iceland,123,16.34,26.96
2014.06,Finland,124,16.04,26.95
2015.01,Senegal,1,110.34,206.09
2015.01,Ghana,2,109.27,200.44
2015.01,Afghanistan,3,100.34,184.06
2015.01,Iraq,4,96.72,177.24
2015.01,Egypt,5,96.62,175.65
2015.01,Liberia,6,95.29,179.52
2015.01,Mongolia,7,94.55,175.75
2015.01,Bolivia,8,94.05,170.03
2015.01,Bangladesh,9,93.59,169.25
2015.01,China,10,89.36,164.03
2015.01,Lebanon,11,89.11,159.76
2015.01,Yemen,12,88.53,162.14
2015.01,Myanmar,13,87.89,161.66
2015.01,Qatar,14,87.73,158.95
2015.01,El Salvador,15,87.52,158.8
2015.01,Bahrain,16,87.36,159.86
2015.01,Peru,17,86.5,155.45
2015.01,Jordan,18,85.64,152.71
2015.01,Botswana,19,85.06,153.78
2015.01,Vietnam,20,84.34,149.78
2015.01,Pakistan,21,83.73,149.37
2015.01,Nepal,22,83.39,148.44
2015.01,North Macedonia,23,82.31,155.23
2015.01,Iran,24,82.28,150.9
2015.01,Azerbaijan,25,81.3,146.01
2015.01,Trinidad And Tobago,26,80.15,142.73
2015.01,Cambodia,27,80.06,143.96
2015.01,Venezuela,28,79.19,141.24
2015.01,India,29,77.72,137.41
2015.01,Jamaica,30,77.2,136.84
2015.01,South Korea,31,77.11,140.95
2015.01,Nigeria,32,76.29,134.27
2015.01,Albania,33,76.21,134.11
2015.01,Zambia,34,76.12,149.07
2015.01,Honduras,35,75.2,135.16
2015.01,Indonesia,36,74.41,130.4
2015.01,Turkey,37,74.31,131.19
2015.01,Philippines,38,74.17,130.17
2015.01,Kazakhstan,39,73.69,134.68
2015.01,Tunisia,40,73.54,130.02
2015.01,Armenia,41,73.03,134.85
2015.01,Thailand,42,72.81,126.72
2015.01,Russia,43,72.77,128.2
2015.01,Chile,44,72.4,132.62
2015.01,Maldives,45,71.89,125.23
2015.01,Guatemala,46,71.14,124.03
2015.01,Saudi Arabia,47,71.02,125.44
2015.01,Ukraine,48,69.85,122.71
2015.01,Monaco,49,68.89,125.29
2015.01,Mexico,50,68.83,119.56
2015.01,Laos,51,68.56,120.32
2015.01,Algeria,52,68.37,119.61
2015.01,Taiwan,53,67.65,119.94
2015.01,Tanzania,54,66.78,115.55
2015.01,Ethiopia,55,66.74,119.68
2015.01,Zimbabwe,56,65.86,118.73
2015.01,Sri Lanka,57,65.72,114.62
2015.01,Greenland,58,65.52,118.58
2015.01,Dominican Republic,59,65.32,113
2015.01,Israel,60,65.21,116.35
2015.01,South Africa,61,65.19,113.17
2015.01,Malaysia,62,64.73,111.12
2015.01,Bulgaria,63,63.96,115
2015.01,Malta,64,63.17,109.69
2015.01,Morocco,65,62.73,107.91
2015.01,Kenya,66,62.2,108.02
2015.01,Colombia,67,61.41,111.85
2015.01,United Arab Emirates,68,61.34,106.31
2015.01,Sudan,69,61.01,107.64
2015.01,Fiji,70,60.79,105.82
2015.01,Kuwait,71,59.63,105.21
2015.01,Hong Kong,72,59.5,106.24
2015.01,Paraguay,73,59.13,105.75
2015.01,Guyana,74,59.09,104.86
2015.01,Georgia,75,58.79,102.9
2015.01,Bosnia And Herzegovina,76,58.54,101.95
2015.01,Brazil,77,58.03,98.78
2015.01,Italy,78,57.75,99.09
2015.01,Oman,79,57.43,99.01
2015.01,Moldova,80,57.24,98.51
2015.01,Serbia,81,56.6,98.51
2015.01,Argentina,82,55.88,97.37
2015.01,Kyrgyzstan,83,55.46,100.02
2015.01,Costa Rica,84,55.32,96.86
2015.01,Libya,85,54.07,91.14
2015.01,Belgium,86,53.84,91.41
2015.01,Namibia,87,53.28,93.79
2015.01,Ecuador,88,53.2,89.18
2015.01,Belize,89,51.6,91
2015.01,Panama,90,50.91,94.97
2015.01,Poland,91,50.55,86
2015.01,Romania,92,50.55,84.29
2015.01,Montenegro,93,48.99,85.87
2015.01,Puerto Rico,94,48.03,82.39
2015.01,Slovakia,95,47.94,82.63
2015.01,Syria,96,47.42,81.05
2015.01,Mauritius,97,47.32,85.23
2015.01,Spain,98,46.3,76.79
2015.01,Hungary,99,46.25,79.39
2015.01,France,100,45.94,77.19
2015.01,Belarus,101,45.12,77.21
2015.01,Greece,102,44.87,74.52
2015.01,Latvia,103,43.43,73
2015.01,Czech Republic,104,42.87,73.78
2015.01,Brunei,105,40.79,73.85
2015.01,Singapore,106,40.4,68.36
2015.01,Japan,107,38.22,63.67
2015.01,Netherlands,108,34.97,57.32
2015.01,Bahamas,109,34.65,57.89
2015.01,Austria,110,33.96,58.19
2015.01,United Kingdom,111,33.95,55.48
2015.01,Luxembourg,112,33.5,55.45
2015.01,Cyprus,113,32.88,53.01
2015.01,Croatia,114,32.76,53.81
2015.01,Portugal,115,32.61,53.88
2015.01,Denmark,116,31.79,49.92
2015.01,Uruguay,117,31.72,54.16
2015.01,United States,118,31.45,55.74
2015.01,Slovenia,119,31.45,56.66
2015.01,Lithuania,120,29.6,49.36
2015.01,Turkmenistan,121,28.45,47.59
2015.01,Germany,122,28.32,44.98
2015.01,Ireland,123,27.97,49.69
2015.01,Canada,124,27.3,44.58
2015.01,Switzerland,125,24.07,40.42
2015.01,Uzbekistan,126,23.79,39.66
2015.01,Norway,127,23.7,38.39
2015.01,Australia,128,21.63,33.67
2015.01,New Zealand,129,17.61,29.85
2015.01,Estonia,130,15.53,30.2
2015.01,Sweden,131,15.14,24.81
2015.01,Finland,132,14.91,26.06
2015.01,Iceland,133,13.78,24.49
2015.01,Reunion,134,11.03,34.34
2015.01,Bermuda,135,3.24,8.38
2015.06,Ghana,1,100.01,181.14
2015.06,Mongolia,2,94.55,175.75
2015.06,Egypt,3,94.28,170.87
2015.06,Bangladesh,4,88.56,159.37
2015.06,China,5,87.89,160.87
2015.06,North Macedonia,6,87.7,162.03
2015.06,Vietnam,7,87.58,156.28
2015.06,Peru,8,87.33,157.04
2015.06,Monaco,9,85.87,155.91
2015.06,Bolivia,10,85.49,152.73
2015.06,Lebanon,11,85.41,152.77
2015.06,Bahrain,12,84.64,155.72
2015.06,Myanmar,13,84.63,155.22
2015.06,Qatar,14,84.45,151.27
