Year,Country,Traffic Index Rank,Traffic Index,Time Index (in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
2012.01,Iran,1,328.17,73.5,38296.18,351.27,9714
2012.01,Singapore,2,274.66,66.25,24679.99,247.61,7592.5
2012.01,Bangladesh,3,269.79,61.67,17931.92,480.76,16403.33
2012.01,Egypt,4,242.4,59,14613.3,269.9,12742
2012.01,Hong Kong,5,241,62,18377.31,200.59,5143.33
2012.01,Philippines,6,208.9,54.89,10307.9,290.4,7538
2012.01,Turkey,7,188.72,54.22,9697.43,192.45,2944.44
2012.01,India,8,174.35,48.33,5274.72,300.92,7796.86
2012.01,Russia,9,163.1,47.83,4979.28,173.16,5970.67
2012.01,Israel,10,162.28,46.6,4287.14,206.25,7709
2012.01,Argentina,11,153,45.4,3675.71,183.98,6696
2012.01,United Kingdom,12,146.29,44.17,3108.41,374.57,4379.44
2012.01,Colombia,13,137.83,44,3036.35,276.03,2934
2012.01,Japan,14,133.75,46.5,4233.89,140.39,640
2012.01,Canada,15,126.19,40.44,1741.67,211.62,5210.46
2012.01,Thailand,16,125.15,38.75,1281.05,142.22,8977.5
2012.01,Chile,17,122.58,41.62,2123.11,136.88,3222.75
2012.01,Indonesia,18,117.26,36.67,831.47,233.86,7980
2012.01,Ecuador,19,117.23,43,2626.36,78.14,1200
2012.01,Greece,20,110.19,38.22,1155.14,149.25,3981.41
2012.01,South Africa,21,108.92,34.5,489.2,174.01,9177
2012.01,United States,22,108.87,36.36,775.44,163.46,6098.77
2012.01,Australia,23,107.15,37.09,911.91,159.08,4455.94
2012.01,Italy,24,106.94,37.81,1062.49,124.58,3863.43
2012.01,Croatia,25,102.96,37,895.06,163.65,3244.5
2012.01,Poland,26,97.19,36.27,760.23,86.45,3469.09
2012.01,Lithuania,27,91.8,35.5,632.37,114.24,2512.5
2012.01,Malaysia,28,89.39,32.4,262.98,130.97,5162
2012.01,Mexico,29,87.81,31.33,182.36,118.55,6177.78
2012.01,Denmark,30,81.9,31,161.39,92.44,4900
2012.01,Germany,31,80.77,33.12,330.4,103.18,2238.12
2012.01,Romania,32,76.89,32.47,269.08,92.66,2029.41
2012.01,Ukraine,33,76.79,33,318.01,56.89,2035.5
2012.01,Brazil,34,75.96,30,109.43,85.88,4127.25
2012.01,Switzerland,35,68.55,30.88,154.01,81.87,1577.5
2012.01,China,36,66.92,29.67,95.52,65.61,2253.33
2012.01,Spain,37,66.87,26.45,29.22,66.38,4330
2012.01,Belgium,38,63.99,21.5,21.5,95.98,4721.5
2012.01,Portugal,39,63.31,28,47.81,58.27,2585.43
2012.01,Czech Republic,40,62.61,28.67,62.85,47.53,2193.5
2012.01,Serbia,41,62.37,25.65,25.95,120.19,2562.12
2012.01,New Zealand,42,62.25,25.25,25.27,67.28,3391.5
2012.01,Austria,43,60.44,23,23,91,3203.33
2012.01,United Arab Emirates,44,57.64,17,17,92.4,4344.67
2012.01,Netherlands,45,57.06,26.83,32.03,63.77,1650
2012.01,Bulgaria,46,56.22,26.33,28.52,33.72,2106.67
2012.01,Georgia,47,54.9,20,20,48.45,3303.33
2012.01,Sweden,48,54.57,23,23,43.68,2440
2012.01,Saudi Arabia,49,53.91,15.75,15.75,60.29,4189.5
2012.01,Slovenia,50,51.27,24.67,24.67,25.55,1650
2012.01,France,51,50.91,29,72.31,40.51,297.5
2012.01,Hungary,52,50.71,24.67,24.67,34.77,1382
2012.01,Norway,53,43.38,18.5,18.5,34.94,1291.33
2012.01,Pakistan,54,42.3,13,13,36.35,2320
2012.01,Bosnia And Herzegovina,55,40.11,17,17,16.77,1330
2012.01,Ireland,56,18.42,11.67,11.67,0,66.67
2013.01,Kenya,1,263.69,66,24276.35,223.45,4352
2013.01,Bangladesh,2,248.54,60.2,16053.53,374.85,10722
2013.01,Egypt,3,241.78,59,14613.3,249.88,12742
2013.01,Iran,4,230.9,58.28,13787.45,269.83,9021
2013.01,Indonesia,5,210.4,54.38,9835.25,285.59,9577.5
2013.01,India,6,184.87,50.64,6810.21,274.16,7410.96
2013.01,Turkey,7,176.66,50.47,6690.25,207.06,5399.47
2013.01,Singapore,8,175.01,51.1,7144.07,162.37,4259.8
2013.01,Russia,9,172.43,49.68,6143.28,220.76,5224.91
2013.01,Argentina,10,163.55,46.71,4348.52,193.72,8202.86
2013.01,Finland,11,162.67,49,5695.81,177.48,3712.5
2013.01,Philippines,12,162.43,46.75,4367.82,257.13,6757.5
2013.01,Israel,13,162.28,46.6,4287.14,206.25,7709
2013.01,Uruguay,14,157.71,50,6359.5,191.07,1200
2013.01,Japan,15,153.62,50.3,6567.74,134.7,684
2013.01,Colombia,16,137.77,43.57,2855.98,235.54,3872.86
2013.01,Croatia,17,132.95,43.86,2975.45,198.33,2511.14
2013.01,Hong Kong,18,132.58,43.88,2983.02,142.14,2947.5
2013.01,South Africa,19,127.27,38.91,1320.67,184.23,8869.36
2013.01,United States,20,127.12,39.54,1484.73,222.97,6986.52
2013.01,Venezuela,21,126,38.75,1281.05,163.37,8977.5
2013.01,Thailand,22,124.54,38.57,1237.51,139.39,9120
2013.01,Slovakia,23,121.66,41,1916.59,178.4,3320
2013.01,Malaysia,24,121.11,38.64,1253.23,181.21,6777.27
2013.01,Mexico,25,120.06,37.37,968.94,245.64,7728.32
2013.01,Canada,26,119.82,38.76,1282.82,206.81,5715.31
2013.01,Netherlands,27,117.73,38.7,1268.76,194.9,5203
2013.01,Ecuador,28,117.23,43,2626.36,78.14,1200
2013.01,Australia,29,115.97,39.09,1365.7,173.44,4294.76
2013.01,United Kingdom,30,114.88,38.67,1260.61,258.81,3637.22
2013.01,Lebanon,31,114.65,36.4,782.79,144.42,8778
2013.01,Chile,32,114.03,40.22,1678.2,117.07,2909.11
2013.01,Greece,33,113.83,38.51,1223.78,157.13,4637.49
2013.01,Ukraine,34,113.06,39.91,1587.91,98.9,3274.73
2013.01,Italy,35,112.68,38.43,1204.28,149.57,4478
2013.01,Taiwan,36,103.98,38.33,1180.95,75.6,3060
2013.01,Brazil,37,97.78,35.82,683.68,113.58,3795.43
2013.01,Panama,38,94.21,31.67,205.29,115.42,8423.33
2013.01,Poland,39,93.6,36.24,754.74,83.03,2589.93
2013.01,Armenia,40,91.08,35,557.74,74.44,3410
2013.01,Puerto Rico,41,91.04,32.5,271.65,76.89,6650
2013.01,Romania,42,90.41,34.85,536.01,125.12,2703.69
2013.01,Qatar,43,89.5,30.5,133.42,120.54,7980
2013.01,Belgium,44,76.13,27.33,37.34,121.99,6007.33
2013.01,Germany,45,74.55,31.89,222,89.41,2008.93
2013.01,China,46,72.11,30.5,133.42,82.84,2636
2013.01,Czech Republic,47,67.74,30.78,148.45,53.2,1834
2013.01,Mongolia,48,67.64,26.67,30.68,68.03,4433.33
2013.01,United Arab Emirates,49,66.1,24.5,24.5,91.46,4400.67
2013.01,Spain,50,65.89,26.42,29.02,73.98,3894.74
2013.01,Portugal,51,65.2,27.88,45.69,72.02,2921.08
2013.01,Austria,52,62.12,28,47.81,71.73,2106
2013.01,Sweden,53,60.12,27.9,45.97,65.56,1805
2013.01,Serbia,54,59.98,25.48,25.61,108.93,2168.38
2013.01,Lithuania,55,59.81,27.33,37.34,93.28,1675
2013.01,New Zealand,56,59.61,26.57,29.99,51.73,2489.43
2013.01,Denmark,57,55.3,22.5,22.5,61.63,2450
2013.01,Georgia,58,54.9,20,20,48.45,3303.33
2013.01,Saudi Arabia,59,53.91,15.75,15.75,60.29,4189.5
2013.01,Switzerland,60,53.51,25.87,26.54,67.3,1225.2
2013.01,Bulgaria,61,52.56,22.17,22.17,33.08,2383.33
2013.01,Norway,62,52.4,27.08,34.37,46.18,962.15
2013.01,Pakistan,63,50.93,16,16,50.69,3402.5
2013.01,Slovenia,64,50.92,24.67,24.67,22.13,1650
2013.01,France,65,50.04,28.9,69.33,42.41,238
2013.01,Ireland,66,49.46,21,21,72.43,1417.2
2013.01,Estonia,67,48.59,23.17,23.17,24.92,1463.67
2013.01,Hungary,68,48.38,22.45,22.45,36.71,1373.82
2013.01,South Korea,69,40.18,21.5,21.5,26.97,470
2013.01,Bosnia And Herzegovina,70,39.09,18.83,18.83,14.17,886.67
2014.01,Kenya,1,352.17,73.33,37940.02,284.84,4513.33
2014.01,Egypt,2,323.05,60.83,16848.51,336.33,13012.67
2014.01,Bangladesh,3,309.81,60.2,16053.53,374.85,10722
2014.01,Jordan,4,286.17,60.2,16053.53,273.84,6842
2014.01,Iran,5,261.8,54.45,9903.35,237.21,8544.4
2014.01,Philippines,6,230.36,49.78,6207.99,253.24,7375.56
2014.01,Turkey,7,229.56,51.93,7777.52,221.69,5557
2014.01,Russia,8,221.35,49.69,6150.33,217.01,6162.81
2014.01,India,9,213.68,47.72,4913.12,233.86,6491.79
2014.01,Israel,10,204.98,46.38,4167.92,184.14,6477
2014.01,Argentina,11,200.15,45,3485.06,192,6766.33
2014.01,South Africa,12,196.69,41.31,2015.86,201.64,9271.44
2014.01,Singapore,13,192.55,47.82,4970.37,143.93,3872.55
2014.01,Indonesia,14,187.94,41.07,1940.36,246.66,7588.89
2014.01,Venezuela,15,181.5,38.75,1281.05,149.13,8977.5
2014.01,Hong Kong,16,180.46,47.73,4917.16,185.1,2401.82
2014.01,Mexico,17,174.57,38.96,1333.52,213.42,7138.32
2014.01,Malaysia,18,174.07,38.7,1267.7,164.96,7555.3
2014.01,Brazil,19,172.29,43.02,2634.35,172.41,4200.41
2014.01,Colombia,20,172.01,46.15,4052.81,202.47,2300.77
2014.01,Ecuador,21,165.8,42.8,2548.87,99.39,3912
2014.01,Ukraine,22,165.39,41.89,2214.42,200.68,3878
2014.01,United States,23,164.78,37.13,920.88,187.87,6989.04
2014.01,Canada,24,164.16,39.17,1387.65,197.91,5426.74
2014.01,Qatar,25,156.36,33.4,358.83,106.59,8778
2014.01,Japan,26,154.57,47.64,4868.06,117.87,691.43
2014.01,Chile,27,153.89,42.1,2289.24,117.93,2817.6
2014.01,Italy,28,151.67,38.05,1115.68,165.64,4535.34
2014.01,Lebanon,29,148.72,32.43,265.43,137.82,7790
2014.01,Uruguay,30,147.57,45,3485.06,157.64,960
2014.01,Thailand,31,144.36,32.82,300.56,111.72,6995.45
2014.01,Mongolia,32,143.7,36.86,867.44,100.07,4541.43
2014.01,United Kingdom,33,143.41,37.68,1034.13,211.11,3486.61
2014.01,Greece,34,143.11,36.98,890.82,144.48,4130
2014.01,Australia,35,141.35,36.25,756.24,153.44,4253.13
2014.01,Slovakia,36,135.06,37.5,996.26,162.95,2833.33
2014.01,Germany,37,132.35,36.07,725.14,262.09,2826.51
2014.01,Georgia,38,129.81,38,1104.63,140.73,2182
2014.01,Netherlands,39,129.61,35.06,566.73,152.51,3409.38
2014.01,Kazakhstan,40,126.53,40,1613.79,46.45,1563.33
2014.01,Finland,41,122.76,37,895.06,121.86,2007.09
2014.01,Poland,42,120.55,35.32,604.23,98.21,2574.86
2014.01,Spain,43,120.42,32.03,232.86,153.89,3686.6
2014.01,Romania,44,118.85,33.29,347.21,132.3,3072.42
2014.01,Puerto Rico,45,118.55,28.4,56.24,80.82,5426.4
2014.01,United Arab Emirates,46,118.54,28.2,51.81,207.07,4726.4
2014.01,Hungary,47,118.16,34.83,534.22,117.95,2435.44
2014.01,China,48,117.09,31.17,171.64,116.86,3845.56
2014.01,Sweden,49,112.48,34.07,435.15,110.58,2212.43
2014.01,Pakistan,50,112.15,25.12,25.13,89.36,5265
2014.01,Belgium,51,111.96,25.96,26.85,107.13,4965.67
2014.01,Croatia,52,110.39,33.35,353.85,119.4,2236.94
2014.01,Saudi Arabia,53,107.31,23.33,23.33,95.54,4811.78
2014.01,Bulgaria,54,105.12,34.69,514.2,158.92,1235.88
2014.01,Belarus,55,103.42,24.83,24.83,69.94,4256
2014.01,Portugal,56,102.1,28.91,69.75,97.64,3020.34
2014.01,Armenia,57,101.88,31.43,188.71,67.75,2350.86
2014.01,Czech Republic,58,99.2,33.08,326.23,68.38,1583
2014.01,Denmark,59,98.32,25,25,82.61,3507.78
2014.01,Taiwan,60,94.67,27.6,41.03,60.87,2794.4
2014.01,Kuwait,61,93.61,17,17,52.49,4256
2014.01,Serbia,62,88.85,24.38,24.38,98.45,2460.9
2014.01,New Zealand,63,87.17,26.57,29.99,46.53,2332.71
2014.01,Syria,64,86.67,20.88,20.88,64,2832
2014.01,Lithuania,65,82.41,22,22,77.26,2202
2014.01,France,66,82.07,28.1,49.76,65.61,1506.8
2014.01,Switzerland,67,79.16,24.55,24.55,70.52,1701.9
2014.01,Slovenia,68,76.53,20.67,20.67,24,2155
2014.01,Ireland,69,76.53,22.53,22.53,61.77,1713.12
2014.01,South Korea,70,76.37,31.2,173.74,78.13,536
2014.01,Estonia,71,72.01,24.71,24.71,25.2,1391.71
2014.01,Norway,72,71.57,24.5,24.5,41.92,1270.89
2014.01,Austria,73,70.71,24.5,24.5,50.87,1165
2014.01,Bosnia And Herzegovina,74,63.06,22.56,22.56,35.71,886.67
2014.06,Egypt,1,317.79,60.67,16636.94,321.59,12146.13
2014.06,Kenya,2,315.43,67.14,26156.16,249.31,5008.57
2014.06,Bolivia,3,293.28,63,19755.33,300.27,5242
2014.06,Bangladesh,4,280.43,58,13477.89,330.05,7772.86
2014.06,Iran,5,261.8,54.45,9903.35,237.21,8544.4
2014.06,Philippines,6,229.38,49.5,6021.85,250.14,7476.6
2014.06,Turkey,7,225.23,50.71,6857.33,231.73,5851.17
2014.06,Russia,8,219.09,50.19,6490.65,222.05,5392.03
2014.06,Jordan,9,211.26,48.5,5381.22,237.79,5474
2014.06,India,10,205.42,46.67,4324.67,218.06,6118.96
2014.06,South Africa,11,203.8,42.41,2400.33,199.96,9654.22
2014.06,Japan,12,194.55,51.05,7103.79,203.98,2019.09
2014.06,Ecuador,13,194.39,45.67,3806.43,133.25,5698.33
2014.06,Malaysia,14,193.05,41.09,1944.27,223,8637.66
2014.06,Argentina,15,192.44,44,3036.35,183.4,6367.73
2014.06,Brazil,16,183.5,44.84,3411.58,188.1,4426.45
2014.06,Indonesia,17,180.35,40.03,1623.68,238.72,7152.76
2014.06,Israel,18,176.95,41.42,2054.23,171.8,5944.32
2014.06,Mexico,19,171.45,38.86,1307.65,208.01,6725.36
2014.06,Singapore,20,170.43,44.36,3192.09,131.36,3377.71
2014.06,Colombia,21,169.53,45.88,3914.29,185.19,2253.53
2014.06,Canada,22,164.16,39.49,1470.83,194.01,5241.06
2014.06,United States,23,160.99,36.2,746.95,184.41,7036.3
2014.06,Ukraine,24,155.4,39.09,1366.91,182.53,4333.64
2014.06,Italy,25,154.08,38.03,1110.77,164.72,4884.33
2014.06,Hong Kong,26,152.03,42.33,2373.81,163.09,2323.33
2014.06,Cambodia,27,150.01,33.33,351.79,134.37,7453.33
2014.06,Chile,28,149.68,40.55,1774.8,115.43,3166
2014.06,Lebanon,29,148.72,32.43,265.43,137.82,7790
2014.06,Uruguay,30,147.57,45,3485.06,157.64,960
2014.06,Australia,31,146.62,37.02,899.84,155.5,4506.71
2014.06,Thailand,32,144.22,33,318.01,109.13,6879.17
2014.06,Mongolia,33,143.7,36.86,867.44,100.07,4541.43
2014.06,Qatar,34,138.96,30.7,144.12,100.66,7435
2014.06,United Arab Emirates,35,137.89,31.84,218.17,170.98,6114.95
2014.06,Netherlands,36,136.86,35.5,632.37,194.66,3877
2014.06,Slovakia,37,134.58,37.5,996.26,150.87,2833.33
2014.06,United Kingdom,38,131.52,34.63,506.47,193.85,3655.26
2014.06,Venezuela,39,130.73,28.88,68.6,122.11,6810
2014.06,Georgia,40,129.81,38,1104.63,140.73,2182
2014.06,Panama,41,127.61,27,33.58,101.36,7182
2014.06,Greece,42,127.11,33.21,338.76,137.25,4068.11
2014.06,Saudi Arabia,43,123.93,29.55,90.85,112.96,5508.73
2014.06,Vietnam,44,123.25,31,161.39,115.53,4733.33
2014.06,China,45,121.29,32.62,282.22,112.99,3750.19
2014.06,Puerto Rico,46,118.55,28.4,56.24,80.82,5426.4
2014.06,Poland,47,115.94,34.35,469.68,94.64,2518.98
2014.06,Spain,48,115.26,30.89,154.63,142.33,3600.8
2014.06,Pakistan,49,114.24,25.55,25.74,86.77,5521.82
2014.06,Romania,50,110.13,31.35,183.61,122.49,2933.09
2014.06,Kazakhstan,51,108.49,36.5,800.82,44.2,1372.5
2014.06,Croatia,52,107.55,32.89,307.26,116.87,2146
2014.06,Belgium,53,106.55,25.68,26.03,99.76,4327.71
2014.06,Portugal,54,104.66,28.97,71.49,97.85,3288.43
2014.06,Sweden,55,104.42,32.4,262.98,107.28,2064.93
2014.06,Belarus,56,103.42,24.83,24.83,69.94,4256
2014.06,Bulgaria,57,102.66,34.32,465.45,141,1217.58
2014.06,Germany,58,102.09,31.44,189.32,113.72,2137.29
2014.06,Denmark,59,101.52,28.82,66.98,119.77,2870
2014.06,South Korea,60,96.87,31.33,182.36,78.24,1865.33
2014.06,Finland,61,95.88,31.5,193.58,108.02,1605.57
2014.06,Hungary,62,94.87,30.09,113.33,104.95,1926.87
2014.06,Kuwait,63,93.61,17,17,52.49,4256
2014.06,France,64,91.92,30.31,123.74,74.59,1751.31
2014.06,Serbia,65,90.88,24.57,24.57,98.57,2644.87
2014.06,Czech Republic,66,89.47,30.88,154.57,60.23,1474.15
2014.06,Lithuania,67,88.58,23.46,23.46,79.82,2635.38
2014.06,Armenia,68,88.21,27.89,45.77,60.09,2098.22
2014.06,Slovenia,69,87.53,22,22,38.22,2987.14
2014.06,Ireland,70,86.85,26.61,30.23,91.39,2041.58
2014.06,Syria,71,86.67,20.88,20.88,64,2832
2014.06,Taiwan,72,85.84,25.14,25.15,53.58,2338.86
2014.06,New Zealand,73,85.7,25.47,25.59,44.2,2354.53
2014.06,Switzerland,74,77.37,25.71,26.1,64.88,1482.42
2014.06,Norway,75,72.76,25.61,25.87,48.84,1230.44
2014.06,Estonia,76,72.01,24.71,24.71,25.2,1391.71
2014.06,Austria,77,66.79,24.77,24.77,45.63,917.69
2014.06,Cyprus,78,64.55,18.25,18.25,21.69,1396.5
2014.06,Bosnia And Herzegovina,79,63.06,22.56,22.56,35.71,886.67
2015.01,Kenya,1,317.24,65.2,23012.87,253.96,7123.6
2015.01,Egypt,2,293.39,56.85,12243.24,298.66,11796.2
2015.01,Bangladesh,3,280.43,58,13477.89,330.05,7772.86
2015.01,Bolivia,4,243.93,55,10411.95,254.22,5033.33
2015.01,Nigeria,5,241.71,58.67,14228.36,240.38,2328.67
2015.01,Jordan,6,232.05,51.4,7368.18,224.09,6374.2
2015.01,Iran,7,214.14,47.44,4753.91,202.6,6974.74
2015.01,South Africa,8,208.39,42.98,2618.22,202.37,10002.42
2015.01,Philippines,9,202.31,45.5,3724.39,217.82,6565.46
2015.01,Thailand,10,200.79,42.36,2382.55,239.58,8862.14
2015.01,Brazil,11,199.4,46.34,4149.46,246.5,5321.17
2015.01,Russia,12,198.51,47.08,4551.2,197.85,4885.94
2015.01,India,13,195.53,45.24,3597.83,207.68,5760.83
2015.01,Japan,14,194.55,51.05,7103.79,203.98,2019.09
2015.01,Ecuador,15,194.39,45.67,3806.43,133.25,5698.33
2015.01,Turkey,16,194.22,46.32,4138.81,198.73,4825.94
2015.01,Indonesia,17,186.26,41.63,2124.33,248.99,6849.71
2015.01,Malaysia,18,181.23,39.4,1447.11,209.35,7978.29
2015.01,Argentina,19,175.34,41.39,2043.5,164.21,5765.56
2015.01,Israel,20,175.23,41.25,1997.57,174.67,5787
2015.01,Hong Kong,21,171.92,46.25,4102.6,182.29,2315.62
2015.01,Singapore,22,170.76,44.07,3065.05,129.13,3595.87
2015.01,Colombia,23,162.94,44.55,3276.21,173.1,2304.09
2015.01,Canada,24,161.56,38.88,1312.67,198.88,5233.99
2015.01,Mexico,25,158.59,36.89,874.65,184.19,6169.37
2015.01,United States,26,158.47,35.96,706.31,179.28,6813.52
2015.01,Ukraine,27,157.51,40.04,1626.27,180.43,4058.61
2015.01,China,28,150.98,37.48,992.08,156.95,4826.16
2015.01,Cambodia,29,150.01,33.33,351.79,134.37,7453.33
2015.01,Chile,30,149.19,40.83,1863.79,111.93,2982.17
2015.01,Lebanon,31,148.72,32.43,265.43,137.82,7790
2015.01,Uruguay,32,147.57,45,3485.06,157.64,960
2015.01,Kazakhstan,33,146.9,41.8,2183.39,64.56,2534.4
2015.01,Mongolia,34,143.7,36.86,867.44,100.07,4541.43
2015.01,Australia,35,142.46,36.25,756.24,153,4400.63
2015.01,Italy,36,142.07,35.91,698.3,152.91,4538.88
2015.01,Vietnam,37,141.69,36.4,782.79,123.14,4384.8
2015.01,Netherlands,38,140.43,35.45,624.88,280.21,4000
2015.01,Venezuela,39,139.9,30.6,138.69,126.56,7443
2015.01,Puerto Rico,40,139.58,32,230.25,106.47,6738.67
2015.01,Qatar,41,132.56,29.27,81.09,97.78,7121.82
2015.01,Panama,42,130.46,28.12,50.26,106.09,7216.25
2015.01,Georgia,43,128.99,38,1104.63,121.88,2182
2015.01,Greece,44,128.78,33.18,335.69,139.97,4284.16
2015.01,United Arab Emirates,45,128.27,29.9,105.29,155.15,5722.57
2015.01,United Kingdom,46,127.76,34,426.55,177.57,3573.45
2015.01,Dominican Republic,47,127.02,27.5,39.57,59.28,7315
2015.01,Sri Lanka,48,126.82,30.83,151.61,99.43,5431.67
2015.01,North Macedonia,49,122.58,33.17,334.6,202.42,3236.33
2015.01,Kuwait,50,119.48,25,25,114.44,6206.67
2015.01,Poland,51,118.16,34.67,511.73,101.65,2579.75
2015.01,Bahrain,52,116.25,27,33.58,95.83,5426.4
2015.01,Saudi Arabia,53,113.05,26.14,27.58,103.92,5107.29
2015.01,Belarus,54,113.05,30.57,137.17,82.47,3805.14
2015.01,Pakistan,55,112.61,25.14,25.15,82.38,5383.57
2015.01,Bulgaria,56,109.48,33.43,362.54,138.47,2046.7
2015.01,Romania,57,108.25,30.69,143.43,113.72,3016.61
2015.01,Ireland,58,108.08,32.6,280.17,133.01,2229.23
2015.01,Moldova,59,106.98,24.6,24.6,83.01,4666
2015.01,Spain,60,106.47,28.91,69.65,136.57,3309.73
2015.01,Taiwan,61,106.28,28.25,52.88,97.09,3709
2015.01,Lithuania,62,105.38,31.33,182.36,138.01,2380.56
2015.01,Belgium,63,102.46,26.69,30.89,129.52,3460.44
2015.01,Croatia,64,102.35,30.5,133.42,109.94,2481.27
2015.01,Finland,65,100.39,33.17,334.6,106.76,1489.89
2015.01,Serbia,66,99.85,27.79,44.02,111.82,3008.97
2015.01,Portugal,67,99.79,28.2,51.71,93.14,2997.85
2015.01,Germany,68,98.41,31.08,166.45,113.71,1914.97
2015.01,Slovakia,69,98.37,30.4,128.32,121.32,2082
2015.01,South Korea,70,96.62,31.33,182.36,73.77,1865.33
2015.01,Denmark,71,94.37,27.85,45.02,110.91,2428.46
2015.01,Hungary,72,92.87,30.12,114.63,99.11,1771.46
2015.01,New Zealand,73,92.36,28.1,49.66,67.84,2399.14
2015.01,Czech Republic,74,91.65,31.47,191.3,62.66,1477.27
2015.01,Latvia,75,90.11,24,24,52.28,2913.6
2015.01,Armenia,76,88.83,26.09,27.36,57.84,2490.55
2015.01,Syria,77,86.67,20.88,20.88,64,2832
2015.01,France,78,85.7,28.6,61.12,69.52,1676.47
2015.01,Sweden,79,84.03,26.9,32.67,92.48,1747.05
2015.01,Greenland,80,82.47,18,18,74.92,2660
2015.01,Switzerland,81,80.46,25.63,25.91,65.53,1734
2015.01,Norway,82,74.58,25.3,25.34,48.17,1391.4
2015.01,Slovenia,83,74.57,18.82,18.82,31.97,2094.36
2015.01,Cyprus,84,73.72,19,19,34.31,1980.22
2015.01,Estonia,85,69.25,22.44,22.44,23.51,1385.56
2015.01,Bosnia And Herzegovina,86,67.19,21.9,21.9,36.13,1197
2015.01,Austria,87,66.87,25.86,26.51,44.46,852.14
2015.01,Turkmenistan,88,45.49,11.75,11.75,10.22,735
2015.06,Egypt,1,284.51,55.48,10870.53,296.43,11567.56
2015.06,South Africa,2,215.34,43.93,3007.83,228.67,10289.53
2015.06,Thailand,3,211.86,44.12,3087.1,245.76,9312.82
2015.06,Iran,4,202.9,45.52,3731.8,193.45,6787.82
2015.06,Philippines,5,201.31,46.09,4020.42,216.01,5947.27
2015.06,Turkey,6,198.61,46.91,4457.61,204.66,4987.53
2015.06,Russia,7,195.51,46.82,4405.92,185.08,4721.17
2015.06,India,8,195.02,45.1,3531.03,217.21,5739.89
2015.06,Brazil,9,194.29,45.54,3744.05,227.56,5252.85
2015.06,Argentina,10,186.46,43.1,2663.78,169.38,6199.9
2015.06,Indonesia,11,177.91,40.58,1785.76,224.19,6415.58
2015.06,Singapore,12,175.31,45.41,3681.42,126.49,3361.06
2015.06,Malaysia,13,174.99,39.38,1441.97,206.82,6932.24
2015.06,China,14,173.68,42.35,2381.7,182.16,4764.32
2015.06,Venezuela,15,173.23,39.42,1452.35,209.72,6597.5
2015.06,Hong Kong,16,166.44,45.67,3806.43,173.76,2106.11
2015.06,Colombia,17,165.95,44.19,3120.13,164.67,2815.48
2015.06,Japan,18,163.35,46.98,4491.89,177.54,1298
2015.06,Canada,19,161.91,39.12,1373.13,198.65,5132.75
2015.06,United Arab Emirates,20,160.16,35.32,605,197.62,7426.93
2015.06,Netherlands,21,158.59,37.45,986.32,291.33,5279.95
2015.06,Ukraine,22,158.48,41.23,1989.38,174.63,3532.6
2015.06,Saudi Arabia,23,156.26,35.65,655.52,197.79,6553.06
2015.06,United States,24,154.2,34.98,555.08,177.99,6775.74
